Unnamed: 0,Unnamed: 1,TABELA DE MEDICAMENTOS - PLANSERV ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,VERSÃO,2026-02-01 00:00:00,,,
,,,,,,
,,,,,,
CÓDIGO DO GRUPO,GRUPO DE CLASSIFICAÇÃO,CÓDIGO DO MEDICAMENTO,DESCRIÇÃO DO MEDICAMENTO,FRAÇÃO,UNIDADE,VALOR (R$)
2000,GERAL,21643,CYSTISTAT - 40 mg/50 ml sol. inj. fr. 50 ml,1,UN,445.32
2000,GERAL,3,AAS - Ad. 50 x 4 cprs.,1,UN,0.28
2000,GERAL,8,AAS - Inf. 20 x 10 cprs. emb. mult.,1,UN,0.28
2000,GERAL,10,AAS - Inf. 120 cprs.,1,UN,0.28
2000,GERAL,11,AAS - Inf. 3 x 10 cprs.,1,UN,0.28
2000,GERAL,12,ACARSAN - Liq. vd. 80  cc,1,UN,0.11
2000,GERAL,13,ACETOFLUX - 10 mg. bl. 14 cprs.,1,UN,1.32
2000,GERAL,14,ACETOFLUX - 10 mg. bl. 5 cprs.,1,UN,1.53
2000,GERAL,15,ACETOFEN - Fr. 10 ml.,1,UN,0.52
2000,GERAL,16,ACETOFEN - Fracao,1,UN,1.1
2000,GERAL,17,ACETOFEN - 500 mg. 50 bl. x 4 cprs.,1,UN,0.27
2000,GERAL,18,ACETOFEN - 200 mg/ml sol. oral  15 ml.,1,UN,0.68
2000,GERAL,19,ACETOFEN - 750 mg. 5 bl. x 4 cprs.,1,UN,0.76
2000,GERAL,20,ACETOFEN - 750 mg. 50 bl. x 4 cprs.,1,UN,0.67
2000,GERAL,21,ACETOFEN - Fracao 750 mg.,1,UN,2.69
2000,GERAL,24,ACROSIN - 5 amps. 5 cc.,1,UN,3.09
2000,GERAL,25,ACROSIN - 100 amps. 5 cc.,1,UN,2.76
2000,GERAL,26,ACROSIN - Cx. 20 drags.,1,UN,0.69
2000,GERAL,27,ACTICALCIN - 100 UI inj. 5 amps.,1,UN,33.06
2000,GERAL,28,ACTICALCIN - 50 UI inj. 5 amps.,1,UN,18.81
2000,GERAL,29,"ACTICALCIN - 50 UI cx. 5 amps x 1 ml. 5 ser.x 2,5 ml - 5 agul. 25 x 7",1,UN,16.27
2000,GERAL,30,ACTIFEDRIN - Cx. 20 cprs.,1,UN,0.39
2000,GERAL,31,ACTIFEDRIN - Vd. 100 ml. elixir,1,UN,0.08
2000,GERAL,32,ACTILYSE rt. PA - Fr. amp. 50 mg.,1,UN,2230.13
2000,GERAL,33,ADALAT - Retard 10 mg. bl. x 30 cprs.,1,UN,0.53
2000,GERAL,34,ADALAT - 10  mg.  fr.  60 caps.  gel.,1,UN,0.38
2000,GERAL,35,ADALAT - Oros 20 mg.  3 bl.  x 5  cprs.,1,UN,3.04
2000,GERAL,36,ADALAT - Oros 30 mg.  3 bl. x 5  cprs.,1,UN,3.72
2000,GERAL,37,ADALAT - Oros 60 mg.  3 bl. x 5  cprs.,1,UN,5.47
2000,GERAL,38,ADALAT - Retard 20 mg. bl. x 30 cprs.,1,UN,0.79
2000,GERAL,39,ADEROGIL D3 - Cx. 3 amps.,1,UN,1.7
2000,GERAL,40,ADEROGIL D3 - Gts. fr. 10 ml.,1,UN,0.55
2000,GERAL,41,ADEROGIL D3 - Cx.  50  amps.  emb.  mult.,1,UN,1.68
2000,GERAL,43,ADRENOPLASMA - Fr. 500 ml. s/equipo,1,UN,29.38
2000,GERAL,44,ADRENOPLASMA - Fr. 500 ml. c/equipo,1,UN,34.61
2000,GERAL,45,ADRENOXIL - 5 mg. 5 x 1 cc,1,UN,2.59
2000,GERAL,46,ADRENOXIL - 5 mg. 100 x 1 cc,1,UN,2.03
2000,GERAL,49,AD-TIL - Fr. 10 ml.,1,UN,0.58
2000,GERAL,50,AEROFLUX - Sol.  vd.  120 ml   (edulito),1,UN,0.08
2000,GERAL,51,AEROLIN - 2 mg. 20 cprs.,1,UN,0.17
2000,GERAL,52,AEROLIN - Spray 200 doses,1,UN,27.94
2000,GERAL,53,AEROLIN - 4 mg. cx. 20 cprs.,1,UN,0.26
2000,GERAL,54,"AEROLIN - Inj.  0,5 mg.  5  amps.  1  ml.",1,UN,2.04
2000,GERAL,55,AEROLIN - Sol. neb. fr. 10 ml.,1,UN,1.2
2000,GERAL,56,AEROLIN - Xpe fr. 120 ml. - sugar free,1,UN,0.06
2000,GERAL,57,AEROTIDE - Spray c/200 doses,1,UN,29.57
2000,GERAL,58,AFRIN - Oft. 20 ml,1,UN,0.13
2000,GERAL,59,AFRIN - Ad. 12 H fr. 10 ml.,1,UN,0.81
2000,GERAL,60,AFRIN - Ad. 12 H fr. 30 ml.,1,UN,0.47
2000,GERAL,61,AFRIN - Ped. fr. 20 ml.,1,UN,0.49
2000,GERAL,62,AFRIN - Sol. natural fr. 30 ml,1,UN,0.27
2000,GERAL,63,AGASTEN - Blister 15 cprs.,1,UN,0.97
2000,GERAL,64,AGASTEN - Xpe. vd. 120 ml.,1,UN,0.07
2000,GERAL,65,AGREAL - Cx. 20 cprs.,1,UN,2.72
2000,GERAL,66,AKINETON - Cx. 5 amps. x 1 ml.,1,UN,1.71
2000,GERAL,67,AKINETON - 2 mg. cprs. 4 bl. amb. x 20,1,UN,0.31
2000,GERAL,68,AKINETON - Retard cx. 2 bl. x 15 cprs. rev. 4 mg.,1,UN,0.57
2000,GERAL,69,ALBICON - Po tb. 20 g.,1,UN,10.6
2000,GERAL,70,ALBICON - Cx. 50 sachets 3 g,1,UN,1.57
2000,GERAL,71,ALBOCRESIL - Cx. 6 ovulos,1,UN,1.8
2000,GERAL,72,ALBOCRESIL - Gel bisn. 50 g. c/aplic.,1,UN,16.63
2000,GERAL,73,ALBOCRESIL - Sol. fr. 12 ml.,1,UN,1.4
2000,GERAL,75,"ALBUMINA HUMANA - 0,2 g/ml sol. Inj. FA 50 ml (10g)",1,UN,194.63
2000,GERAL,76,"ALBUMINA HUMANA - 0,2 g/ml sol. Inj. FA 10 ml",1,UN,67.45
2000,GERAL,79,ALCA-LUFTAL - Cart. 1 FA x 120 ml,1,UN,0.15
2000,GERAL,80,ALDACTONE - 100 mg. vd. 16 cprs.,1,UN,1.39
2000,GERAL,81,ALDACTONE - 25 mg. 30 cprs.,1,UN,0.65
2000,GERAL,82,ALDACTONE - 50 mg. 30 cprs.,1,UN,1.02
2000,GERAL,83,ALDAZIDA - 50 mg. 30 cprs.,1,UN,0.85
2000,GERAL,84,ALDOMET - 250 mg. 30 cprs.,1,UN,0.6
2000,GERAL,85,ALDOMET - 500 mg. blister 30 cprs.,1,UN,1.17
2000,GERAL,88,ALIDOR - 500 mg. cx. 20 cprs.,1,UN,0.12
2000,GERAL,89,ALIN - 400 mg. 1 cpr. mast.,1,UN,5.4
2000,GERAL,90,ALIN - 400 mg. susp. oral fr. 10 ml,1,UN,0.59
2000,GERAL,93,"AMIDALIN - Cx. 20 past. (laranja, menta, cereja, mel / limao e framboes",1,UN,0.55
2000,GERAL,97,AMINOFILINA - Fr. gts. 10 ml.,1,UN,0.7
2000,GERAL,98,"AMINOFILINA - 0,1 g x 20 cprs.",1,UN,0.27
2000,GERAL,99,"AMINOFILINA - 0,2 g. 20 cprs.",1,UN,0.3
2000,GERAL,100,"AMINOFILINA - 0,24 g. 100 amps. 10 ml.",1,UN,2.36
2000,GERAL,102,AMOXIL - 500 mg. 15 caps.,1,UN,0.99
2000,GERAL,103,AMOXIL - 250 mg. susp. 150 ml.,1,UN,0.09
2000,GERAL,104,AMOXIL - 500 mg. cx. 21 caps.,1,UN,0.99
2000,GERAL,106,AMOXIL - 500 mg. susp. 150 ml,1,UN,0.18
2000,GERAL,107,AMOXIL - 500 mg.  2  bl.  x  15  caps.,1,UN,0.99
2000,GERAL,116,AMPLACILINA - Susp. fr. 60 ml.,1,UN,0.18
2000,GERAL,117,AMPLACILINA - 500  mg.  cart.  12  caps.,1,UN,1.08
2000,GERAL,118,AMPLACILINA - 1 g inj. ds. 25 FA + dil. amp. plast. 3 ml,1,UN,5.6
2000,GERAL,119,AMPLICTIL - 25 mg. cx. 5 amps.,1,UN,1.75
2000,GERAL,120,AMPLICTIL - Gts. fr. 20 ml.,1,UN,4.89
2000,GERAL,121,AMPLICTIL - 100 mg. est. 20 cprs.,1,UN,0.3
2000,GERAL,122,AMPLICTIL - 25  mg.  cprs.  rev.  ct  2  bl. al plas inc x 10,1,UN,0.2
2000,GERAL,123,AMPLIUM - 500 mg. x 4 cprs. rev.,1,UN,1.37
2000,GERAL,124,AMPLIUM - 500 mg. x 8 cprs. rev.,1,UN,1.14
2000,GERAL,131,ANADOR - Sol. oral 500 mg. 1 fr. 10 ml.,1,UN,0.3
